choice,gender,amount,freq,last,first,child,youth,cook,diy,art
yes,male,113,8,1,8,0,1,0,0,0
yes,male,418,6,11,66,0,2,3,2,3
yes,male,336,18,6,32,2,0,1,1,2
yes,male,180,16,5,42,2,0,0,1,1
yes,female,320,2,3,18,0,0,0,1,2
yes,male,268,4,1,4,0,0,0,0,0
yes,male,198,2,12,62,2,3,2,1,2
yes,female,280,6,2,12,0,2,0,0,0
yes,male,393,12,11,50,3,0,3,0,2
yes,male,138,10,7,38,2,3,0,0,1
yes,female,142,14,2,20,0,1,0,0,1
yes,female,251,10,2,18,0,0,2,0,0
yes,female,130,14,2,18,1,0,0,0,0
yes,male,308,6,1,6,0,0,0,0,1
yes,male,251,10,2,18,1,0,0,0,1
yes,male,249,16,1,16,1,0,0,0,0
yes,male,311,14,9,50,0,0,2,1,0
yes,female,180,8,2,12,0,1,0,1,0
yes,female,227,30,2,34,1,0,0,0,1
yes,male,44,2,1,2,0,0,1,0,0
yes,male,207,4,7,22,2,1,1,0,1
yes,male,239,14,2,22,1,0,1,0,0
yes,male,154,10,7,46,0,2,0,1,1
yes,female,218,4,2,6,2,0,0,0,0
yes,female,273,10,2,12,2,0,0,0,0
yes,male,250,10,1,10,1,0,0,0,0
yes,male,235,10,9,40,3,0,1,1,1
yes,female,100,22,2,26,0,0,0,1,1
yes,male,140,2,1,2,1,0,0,0,0
yes,male,331,10,7,48,1,0,1,0,2
yes,female,309,4,2,8,0,0,1,0,0
yes,male,280,10,1,10,1,0,0,0,0
yes,female,90,4,1,4,0,0,0,0,0
yes,female,331,4,7,28,3,0,2,0,2
yes,male,312,8,2,10,0,0,0,1,0
yes,female,164,10,9,46,0,2,3,0,0
yes,male,172,14,5,38,0,0,1,2,1
yes,female,285,16,4,28,0,0,3,0,0
yes,female,386,6,11,36,4,0,1,0,2
yes,male,428,2,9,22,2,1,1,0,2
yes,male,396,12,12,68,6,0,3,0,2
yes,male,377,8,11,36,3,2,3,0,1
yes,female,103,8,1,8,1,0,0,0,0
yes,male,204,14,2,22,0,0,1,0,0
yes,male,161,10,1,10,0,0,0,0,1
yes,female,165,2,11,48,1,0,3,2,0
yes,male,66,10,1,10,0,0,1,0,0
yes,male,318,14,9,66,5,1,0,0,1
yes,male,159,10,9,46,2,0,1,0,5
yes,female,80,2,2,6,1,0,1,0,0
yes,male,163,10,2,18,0,0,1,0,0
yes,female,213,10,3,22,0,1,0,0,2
yes,male,400,10,10,34,1,0,1,1,3
yes,female,183,8,12,66,4,0,2,1,4
yes,female,151,8,1,8,0,0,0,1,0
yes,female,240,16,2,18,0,1,1,0,0
yes,female,97,6,1,6,0,0,0,0,1
yes,female,267,6,3,12,2,0,0,0,0
yes,female,136,6,5,28,1,1,2,0,1
yes,female,129,4,3,18,1,0,0,1,1
yes,male,89,4,2,6,0,0,0,0,1
yes,female,283,8,12,62,5,0,4,0,1
yes,male,266,10,9,50,0,0,5,0,2
yes,male,240,2,2,8,0,1,0,0,1
yes,male,144,12,1,12,0,1,0,0,0
yes,female,74,2,2,6,0,0,0,1,1
yes,male,163,6,2,8,1,0,1,0,0
yes,male,70,2,1,2,0,0,0,0,0
yes,male,251,4,2,8,0,0,0,0,1
yes,male,288,30,1,30,0,0,0,1,0
yes,female,304,2,3,10,1,0,0,0,1
yes,male,249,14,4,30,0,0,0,0,2
yes,male,310,2,1,2,0,0,0,0,0
