date;sandp;ford;ge;microsoft;oracle;ustb3m
jan/02;1130,20;15,30;37,15;31,86;17,26;1,68
fev/02;1106,73;14,88;38,50;29,17;16,62;1,76
mar/02;1147,39;16,49;37,40;30,16;12,80;1,83
abr/02;1076,92;16,00;31,55;26,13;10,04;1,75
mai/02;1067,14;17,65;31,14;25,46;7,92;1,76
jun/02;989,82;16,00;29,05;27,35;9,47;1,73
jul/02;911,62;13,47;32,20;23,99;10,01;1,71
ago/02;916,07;11,77;30,15;24,54;9,59;1,65
set/02;815,28;9,80;24,65;21,87;7,86;1,66
out/02;885,76;8,46;25,25;26,74;10,19;1,61
nov/02;936,31;11,38;27,12;28,84;12,15;1,25
dez/02;879,82;9,30;24,35;25,85;10,80;1,21
jan/03;855,70;9,11;23,14;23,73;12,03;1,19
fev/03;841,15;8,32;24,05;23,70;11,96;1,19
mar/03;848,18;7,52;25,50;24,21;10,85;1,15
abr/03;916,92;10,30;29,45;25,57;11,88;1,15
mai/03;963,59;10,50;28,70;24,61;13,01;1,09
jun/03;974,50;10,99;28,68;25,64;12,01;0,94
jul/03;990,31;11,06;28,44;26,41;11,99;0,92
ago/03;1008,01;11,56;29,57;26,52;12,83;0,97
set/03;995,97;10,77;29,81;27,80;11,25;0,96
out/03;1050,71;12,13;29,01;26,14;11,97;0,94
nov/03;1058,20;13,20;28,67;25,71;12,02;0,95
dez/03;1111,92;16,00;30,98;27,37;13,23;0,91
jan/04;1131,13;14,54;33,63;27,65;13,86;0,90
fev/04;1144,94;13,75;32,52;26,53;12,87;0,94
mar/04;1126,21;13,57;30,52;24,93;12,00;0,95
abr/04;1107,30;15,36;29,95;26,13;11,25;0,96
mai/04;1120,68;14,85;31,12;26,23;11,40;1,04
jun/04;1140,84;15,65;32,40;28,56;11,93;1,29
jul/04;1101,72;14,72;33,25;28,49;10,51;1,36
ago/04;1104,24;14,11;32,79;27,30;9,97;1,50
set/04;1114,58;14,05;33,58;27,65;11,28;1,68
out/04;1130,20;13,03;34,12;27,97;12,66;1,79
nov/04;1173,78;14,18;35,36;26,81;12,74;2,11
dez/04;1211,92;14,64;36,50;26,72;13,72;2,22
jan/05;1181,27;13,17;36,13;26,28;13,77;2,37
fev/05;1203,60;12,65;35,20;25,16;12,95;2,58
mar/05;1180,59;11,33;36,06;24,17;12,48;2,80
abr/05;1156,85;9,11;36,20;25,30;11,56;2,84
mai/05;1191,50;9,98;36,48;25,80;12,80;2,90
jun/05;1191,33;10,24;34,65;24,84;13,20;3,04
jul/05;1234,18;10,74;34,50;25,61;13,57;3,29
ago/05;1220,33;9,97;33,61;27,38;12,99;3,52
set/05;1228,81;9,86;33,67;25,73;12,40;3,49
out/05;1207,01;8,32;33,91;25,70;12,68;3,79
nov/05;1249,48;8,13;35,72;27,68;12,60;3,97
dez/05;1248,29;7,72;35,05;26,15;12,21;3,97
jan/06;1280,08;8,58;32,75;28,15;12,57;4,34
fev/06;1280,66;7,97;32,87;26,87;12,42;4,54
