data,EPU,IEM,INC,ICCFEC,ICCFGV
2005-09-01,90.69683838,94.09946299,0.381332734,109.24,87.1
2005-10-01,61.16956329,92.60281226,0.35726977,107.65,89.6
2005-11-01,152.5982971,100.8120161,0.391071376,117.23,88.4
2005-12-01,153.8855591,91.29008295,0.41707278,130.16,89
2006-01-01,140.0521698,95.34080122,0.413660662,131.52,95.7
2006-02-01,41.44294739,89.98317764,0.461277833,138.03,94.8
2006-03-01,126.2055054,94.42170837,0.502303017,137.75,93
2006-04-01,80.26670074,91.27361895,0.46694772,132.38,91.4
2006-05-01,95.0802002,96.64519114,0.495393956,138.2,90.4
2006-06-01,142.3168488,95.28050919,0.443583177,134.4,90.1
2006-07-01,75.04366302,91.96644172,0.379647796,134.17,90.5
2006-08-01,82.9475708,93.33104708,0.402769941,128.24,91.1
2006-09-01,101.0406647,95.622319,0.357945091,131.36,91
2006-10-01,113.5249786,99.34745907,0.343248511,132.29,94.4
2006-11-01,84.5838623,94.00145602,0.282937171,134.62,96.1
2006-12-01,78.50811768,101.0815795,0.307854199,127.5,98.1
2007-01-01,149.8407745,94.67316866,0.337315361,133.89,99.4
2007-02-01,91.71240997,98.44803836,0.322282644,134.39,100.4
2007-03-01,86.28601074,92.23319701,0.301681056,127.87,95.5
2007-04-01,105.5030289,94.06376234,0.29420288,127.97,95.1
2007-05-01,97.57683563,95.36379064,0.284533114,126.49,98
2007-06-01,84.20055389,88.36366413,0.2891359,129.77,98.9
2007-07-01,55.860466,86.88012055,0.299175536,130.12,97
2007-08-01,181.6735992,96.47687744,0.307837549,130.3,98.2
2007-09-01,127.3589478,94.89175938,0.336551065,131.81,98.6
2007-10-01,81.97171021,94.59621399,0.330173715,133.34,100.9
2007-11-01,111.0057907,94.05309018,0.39343098,136.25,102
2007-12-01,189.9762726,91.42461375,0.426725947,139.9,109.3
2008-01-01,224.3992157,99.17946184,0.460575403,142.61,104.8
2008-02-01,175.4080048,95.62332602,0.384994981,146.9,106.6
2008-03-01,151.2963562,95.48585038,0.379227909,147.72,110.1
2008-04-01,123.3202744,93.68000208,0.406664974,148.56,102.7
2008-05-01,76.77790833,91.33758418,0.423005408,147.36,104.7
2008-06-01,82.634552,89.93096507,0.387347633,142.59,98
2008-07-01,58.23661804,90.57710862,0.392941818,131.23,93.1
2008-08-01,109.4386749,88.0101875,0.444037699,137.05,96.9
2008-09-01,261.7321472,98.72924352,0.451726139,141.28,100.2
2008-10-01,303.3007813,132.6871243,0.433085963,140.46,89.9
2008-11-01,201.2302094,128.3537739,0.556812288,133.85,83.7
2008-12-01,320.6887207,119.5152126,0.81045554,128.66,84.2
2009-01-01,123.7625809,119.8843054,0.995391202,125.16,85.4
2009-02-01,240.2148438,123.1138646,0.883951165,134.12,82.9
2009-03-01,206.9262695,125.5644607,0.831809315,130.88,86.8
2009-04-01,142.1278534,116.3848558,0.791235657,126.33,87.3
2009-05-01,163.9434204,110.3596568,0.574227981,128.95,90
2009-06-01,125.3882294,109.4354532,0.483552876,139.99,95.4
2009-07-01,158.0436096,108.5235268,0.502045595,145.01,97.9
2009-08-01,97.79081726,107.1552649,0.460335403,145.61,97.3
2009-09-01,109.6539612,105.9600383,0.421156212,148.81,98.5
2009-10-01,49.11080551,102.1068882,0.402783831,157.15,97.9
2009-11-01,82.64693451,100.0768305,0.432030495,155.79,99.8
2009-12-01,77.75521088,96.92924107,0.389542802,156.63,97.7
2010-01-01,165.1578217,101.5453955,0.418218225,160.47,99.1
2010-02-01,196.0114899,102.9029503,0.38718885199999997,161.43,95.2
2010-03-01,105.3700714,94.76226816,0.382183351,159.92,98.3
2010-04-01,55.74076462,92.8929564,0.350303899,154.66,100.9
2010-05-01,110.4771957,101.8892497,0.325816782,155.77,103.1
2010-06-01,52.25696945,98.18957294,0.351350191,160.55,105.5
2010-07-01,70.3670578,94.91681767,0.288555657,157.16,103.9
2010-08-01,84.71240997,96.09733025,0.291193755,164.5,107
2010-09-01,84.33953857,97.54786291,0.297009769,162.62,108
2010-10-01,22.29630661,96.15301475,0.283339721,155.37,106
2010-11-01,88.01173401,99.61705841,0.291388744,160.06,109.7
2010-12-01,78.5772934,94.9204159,0.344393329,164.26,106.8
2011-01-01,26.86301994,97.59684571,0.287363359,160.83,108.1
2011-02-01,111.6055374,98.35121218,0.289373856,164.21,108.7
2011-03-01,173.9181366,98.37685476,0.306277261,160.29,104.6
2011-04-01,170.5838013,97.31270292,0.2917849,159.44,102
2011-05-01,79.12103271,94.92411512,0.329742404,153,101.8
2011-06-01,107.7116241,97.47761418,0.359762688,153.81,104.6
